State,True,Prediction
Mississippi,71.24175751037359,77.62025320469877
New Mexico,83.00111439476545,88.2738074630027
Louisiana,73.87704625041282,79.66357500125447
Alabama,64.18007119669868,78.97711579998901
South Carolina,78.7633152441167,80.18439979378536
Georgia,76.67581549919493,71.83256589967158
Arkansas,69.19720832123853,65.14695633634997
Tennessee,69.46489304222644,66.15113824050428
Kentucky,71.85227810467647,69.05676964537807
Arizona,88.25717239565046,87.14077219889771
West Virginia,69.00852548772811,64.91931114657066
Texas,79.70430797370105,88.5101118335572
Florida,76.67478694755685,78.29433002866111
North Carolina,79.98649702439984,82.41632680907583
New York,106.20736397907989,106.29111157441247
Ohio,76.61033712207649,75.34852532247834
California,114.94381677893475,115.81501185971182
Michigan,86.62157756043544,90.52181872383282
Oklahoma,72.07706055555556,73.25357776835347
Nevada,87.47602828618963,78.00720694582036
Oregon,90.35259961508848,87.92485601828056
Missouri,75.89245870904166,77.09585699103269
Rhode Island,93.17939115646256,93.42566218923128
Indiana,74.7829632394364,72.47737772529753
Illinois,83.8528267290425,80.43161322570595
Montana,79.81088063241104,82.0571688627917
Delaware,89.5967327411167,83.33532686837857
Pennsylvania,79.19184856483817,76.86370706992025
Idaho,84.61977513611617,85.27990990192482
Maine,75.90500810810822,79.82721382894559
Wisconsin,80.02597911079731,79.71184896710183
South Dakota,86.41162078189302,86.29261856304026
Kansas,72.24643162393147,67.72753356652574
Washington,90.76509287257014,88.15509612164777
Nebraska,79.926272504708,72.34441362880673
Virginia,75.38847006001846,81.36993902562988
New Jersey,95.86940055946913,92.52314205207364
Colorado,81.50931391534382,80.22751765943799
Alaska,129.5896943722943,118.34600641302542
Iowa,71.48119994232981,76.91809163756258
Vermont,105.46969962962964,101.9546903012308
Massachusetts,92.41719323269102,93.65769288670806
Hawaii,109.67475045248867,108.97298925712823
Connecticut,101.04592943809058,102.36664659300608
Minnesota,86.19214982238007,91.7682223909413
Maryland,114.80121828828852,111.58472120663231
Wyoming,95.39392024291496,100.83135889825527
North Dakota,87.52048293838862,90.70755944160983
Utah,78.29628688524585,85.09004823250649
New Hampshire,81.24506852976913,93.46744793963639
