year,geo_name,geo,income_below_poverty,pop_poverty_status,income_below_poverty,income_below_poverty_moe,pop_poverty_status,pop_poverty_status_moe
2015,"California","04000US06",6135140.0,37678700.0,6135140.0,41900.0,37678700.0,3413.0
2014,"California","04000US06",6115240.0,37323100.0,6115240.0,38636.0,37323100.0,3616.0
2013,"California","04000US06",5885420.0,36913400.0,5885420.0,40552.0,36913400.0,3433.0
2014,"Texas","04000US48",4500030.0,25479000.0,4500030.0,33436.0,25479000.0,3344.0
2015,"Texas","04000US48",4472450.0,25923900.0,4472450.0,34267.0,25923900.0,3038.0
2013,"Texas","04000US48",4416830.0,25032500.0,4416830.0,32670.0,25032500.0,2911.0
2015,"Florida","04000US12",3180110.0,19228200.0,3180110.0,29794.0,19228200.0,2512.0
2014,"Florida","04000US12",3159260.0,18946200.0,3159260.0,27638.0,18946200.0,2491.0
2013,"Florida","04000US12",3052810.0,18681600.0,3052810.0,27967.0,18681600.0,2230.0
2015,"New York","04000US36",3005940.0,19164000.0,3005940.0,20837.0,19164000.0,2522.0
2014,"New York","04000US36",2978520.0,19082700.0,2978520.0,20970.0,19082700.0,2040.0
2013,"New York","04000US36",2903980.0,18975400.0,2903980.0,21415.0,18975400.0,2063.0
2014,"Illinois","04000US17",1810470.0,12566100.0,1810470.0,16970.0,12566100.0,1746.0
2015,"Illinois","04000US17",1801120.0,12571100.0,1801120.0,17330.0,12571100.0,1611.0
2014,"Ohio","04000US39",1790560.0,11243500.0,1790560.0,18245.0,11243500.0,1890.0
2015,"Georgia","04000US13",1788950.0,9737150.0,1788950.0,19023.0,9737150.0,1625.0
2014,"Georgia","04000US13",1781390.0,9637420.0,1781390.0,19561.0,9637420.0,2002.0
2015,"Ohio","04000US39",1775840.0,11258500.0,1775840.0,18355.0,11258500.0,1875.0
2013,"Ohio","04000US39",1773850.0,11230700.0,1773850.0,18217.0,11230700.0,2051.0
2013,"Illinois","04000US17",1772330.0,12547100.0,1772330.0,16425.0,12547100.0,1837.0
2013,"Georgia","04000US13",1736680.0,9542870.0,1736680.0,18417.0,9542870.0,1681.0
2014,"North Carolina","04000US37",1669150.0,9496940.0,1669150.0,16490.0,9496940.0,1752.0
2014,"Pennsylvania","04000US42",1667860.0,12346300.0,1667860.0,18228.0,12346300.0,1649.0
2015,"North Carolina","04000US37",1667460.0,9592620.0,1667460.0,17780.0,9592620.0,1636.0
2015,"Pennsylvania","04000US42",1666570.0,12365800.0,1666570.0,16564.0,12365800.0,1542.0
2013,"Puerto Rico","04000US72",1644130.0,3647810.0,1644130.0,10736.0,3647810.0,824.0
2013,"North Carolina","04000US37",1643390.0,9396990.0,1643390.0,16614.0,9396990.0,1623.0
2013,"Pennsylvania","04000US42",1638820.0,12318800.0,1638820.0,15172.0,12318800.0,1660.0
2014,"Michigan","04000US26",1633320.0,9667440.0,1633320.0,15473.0,9667440.0,1407.0
2014,"Puerto Rico","04000US72",1630960.0,3604640.0,1630960.0,11171.0,3604640.0,779.0
2013,"Michigan","04000US26",1625980.0,9665130.0,1625980.0,14406.0,9665130.0,1607.0
2015,"Michigan","04000US26",1616870.0,9678200.0,1616870.0,14002.0,9678200.0,1646.0
2015,"Puerto Rico","04000US72",1616120.0,3549930.0,1616120.0,10364.0,3549930.0,724.0
2015,"Arizona","04000US04",1180690.0,6488920.0,1180690.0,14340.0,6488920.0,1611.0
2014,"Arizona","04000US04",1169310.0,6411350.0,1169310.0,16150.0,6411350.0,1575.0
2013,"Arizona","04000US04",1131900.0,6333790.0,1131900.0,11965.0,6333790.0,1377.0
2014,"Tennessee","04000US47",1121340.0,6290530.0,1121340.0,10647.0,6290530.0,1433.0
2015,"Tennessee","04000US47",1117590.0,6339350.0,1117590.0,13306.0,6339350.0,1382.0
2013,"Tennessee","04000US47",1101730.0,6242900.0,1101730.0,14550.0,6242900.0,1268.0
2014,"Indiana","04000US18",983826.0,6342820.0,983826.0,12328.0,6342820.0,1644.0
2015,"Indiana","04000US18",978043.0,6367950.0,978043.0,11525.0,6367950.0,1629.0
2013,"Indiana","04000US18",969881.0,6317160.0,969881.0,11537.0,6317160.0,1463.0
2015,"New Jersey","04000US34",944847.0,8728870.0,944847.0,11702.0,8728870.0,1399.0
2014,"New Jersey","04000US34",934665.0,8699570.0,934665.0,11969.0,8699570.0,1224.0
2015,"Virginia","04000US51",921822.0,8008050.0,921822.0,12683.0,8008050.0,1587.0
2014,"Washington","04000US53",916364.0,6765200.0,916364.0,13006.0,6765200.0,1658.0
2015,"Missouri","04000US29",915972.0,5863110.0,915972.0,11788.0,5863110.0,1732.0
2014,"Virginia","04000US51",914237.0,7939330.0,914237.0,12754.0,7939330.0,1536.0
2014,"Missouri","04000US29",912291.0,5847090.0,912291.0,10971.0,5847090.0,1602.0
2015,"Washington","04000US53",908512.0,6850690.0,908512.0,12297.0,6850690.0,1560.0
2013,"Missouri","04000US29",900929.0,5826480.0,900929.0,10515.0,5826480.0,1419.0
2013,"New Jersey","04000US34",900583.0,8657480.0,900583.0,13154.0,8657480.0,1236.0
2013,"Washington","04000US53",893211.0,6686170.0,893211.0,11295.0,6686170.0,1360.0
2014,"Alabama","04000US01",889710.0,4699510.0,889710.0,9821.0,4699510.0,1078.0
2015,"Louisiana","04000US22",888280.0,4494990.0,888280.0,10864.0,4494990.0,1146.0
2013,"Virginia","04000US51",887595.0,7854140.0,887595.0,12028.0,7854140.0,1538.0
2015,"Alabama","04000US01",887260.0,4711440.0,887260.0,10564.0,4711440.0,922.0
2014,"Louisiana","04000US22",874638.0,4470780.0,874638.0,9725.0,4470780.0,1277.0
2013,"Alabama","04000US01",870631.0,4682980.0,870631.0,10687.0,4682980.0,991.0
2013,"Louisiana","04000US22",846780.0,4438260.0,846780.0,10492.0,4438260.0,1178.0
2014,"South Carolina","04000US45",840141.0,4586820.0,840141.0,13738.0,4586820.0,1357.0
2015,"South Carolina","04000US45",830901.0,4636310.0,830901.0,10578.0,4636310.0,1264.0
2013,"South Carolina","04000US45",820308.0,4537410.0,820308.0,10688.0,4537410.0,1406.0
2015,"Kentucky","04000US21",805841.0,4263220.0,805841.0,10997.0,4263220.0,1326.0
2014,"Kentucky","04000US21",803866.0,4248230.0,803866.0,10834.0,4248230.0,1270.0
2013,"Kentucky","04000US21",796202.0,4230910.0,796202.0,10490.0,4230910.0,1181.0
2015,"Massachusetts","04000US25",748905.0,6471310.0,748905.0,9564.0,6471310.0,1047.0
2014,"Massachusetts","04000US25",742784.0,6424690.0,742784.0,9919.0,6424690.0,905.0
2014,"Wisconsin","04000US55",738557.0,5571080.0,738557.0,10521.0,5571080.0,1287.0
2013,"Massachusetts","04000US25",725351.0,6375040.0,725351.0,9939.0,6375040.0,978.0
2015,"Wisconsin","04000US55",724348.0,5589890.0,724348.0,8814.0,5589890.0,1356.0
2013,"Wisconsin","04000US55",723730.0,5554570.0,723730.0,9275.0,5554570.0,1358.0
2014,"Colorado","04000US08",663861.0,5079530.0,663861.0,8937.0,5079530.0,1311.0
2013,"Colorado","04000US08",660874.0,5002590.0,660874.0,10211.0,5002590.0,1048.0
2015,"Colorado","04000US08",653969.0,5161720.0,653969.0,10992.0,5161720.0,1167.0
2014,"Mississippi","04000US28",653726.0,2887240.0,653726.0,8858.0,2887240.0,1016.0
2013,"Mississippi","04000US28",653321.0,2880870.0,653321.0,9042.0,2880870.0,1203.0
2015,"Mississippi","04000US28",651545.0,2890920.0,651545.0,9617.0,2890920.0,992.0
2014,"Oregon","04000US41",638816.0,3823870.0,638816.0,9214.0,3823870.0,1167.0
2015,"Oregon","04000US41",636947.0,3862760.0,636947.0,10956.0,3862760.0,1427.0
2014,"Oklahoma","04000US40",625508.0,3704020.0,625508.0,7528.0,3704020.0,895.0
2015,"Oklahoma","04000US40",624043.0,3734460.0,624043.0,6996.0,3734460.0,848.0
2013,"Oklahoma","04000US40",618683.0,3671390.0,618683.0,6936.0,3671390.0,900.0
2013,"Oregon","04000US41",614778.0,3793060.0,614778.0,9795.0,3793060.0,1282.0
2014,"Minnesota","04000US27",605761.0,5260350.0,605761.0,7867.0,5260350.0,1046.0
2013,"Minnesota","04000US27",598391.0,5223940.0,598391.0,7443.0,5223940.0,1075.0
2015,"Minnesota","04000US27",596662.0,5295610.0,596662.0,8595.0,5295610.0,983.0
2015,"Maryland","04000US24",576805.0,5789230.0,576805.0,9555.0,5789230.0,1217.0
2014,"Maryland","04000US24",573383.0,5746140.0,573383.0,8393.0,5746140.0,1201.0
2013,"Maryland","04000US24",558329.0,5693240.0,558329.0,9237.0,5693240.0,1253.0
2015,"Arkansas","04000US05",553644.0,2872500.0,553644.0,8176.0,2872500.0,913.0
2014,"Arkansas","04000US05",549303.0,2862660.0,549303.0,8618.0,2862660.0,744.0
2013,"Arkansas","04000US05",547328.0,2849640.0,547328.0,9587.0,2849640.0,1061.0
2015,"New Mexico","04000US35",429361.0,2043680.0,429361.0,7701.0,2043680.0,643.0
2015,"Nevada","04000US32",426337.0,2759180.0,426337.0,7355.0,2759180.0,1028.0
2014,"New Mexico","04000US35",426116.0,2039570.0,426116.0,7932.0,2039570.0,749.0
2014,"Nevada","04000US32",423578.0,2722640.0,423578.0,8562.0,2722640.0,1163.0
2013,"New Mexico","04000US35",413801.0,2028610.0,413801.0,7022.0,2028610.0,743.0
2013,"Nevada","04000US32",403314.0,2690660.0,403314.0,8100.0,2690660.0,1104.0
2014,"Kansas","04000US20",386062.0,2799550.0,386062.0,6931.0,2799550.0,948.0
2013,"Kansas","04000US20",382820.0,2784500.0,382820.0,7261.0,2784500.0,907.0
2015,"Kansas","04000US20",381353.0,2810220.0,381353.0,6888.0,2810220.0,773.0
2015,"Iowa","04000US19",373883.0,2992770.0,373883.0,6524.0,2992770.0,921.0
2014,"Iowa","04000US19",373867.0,2978240.0,373867.0,6086.0,2978240.0,695.0
2013,"Iowa","04000US19",367414.0,2963130.0,367414.0,5597.0,2963130.0,855.0
2015,"Connecticut","04000US09",366351.0,3483300.0,366351.0,5928.0,3483300.0,824.0
2014,"Connecticut","04000US09",364740.0,3481120.0,364740.0,6663.0,3481120.0,681.0
2014,"Utah","04000US49",358682.0,2811100.0,358682.0,7684.0,2811100.0,860.0
2013,"Connecticut","04000US09",354348.0,3473260.0,354348.0,6115.0,3473260.0,649.0
2015,"Utah","04000US49",351601.0,2855910.0,351601.0,6959.0,2855910.0,967.0
2013,"Utah","04000US49",350205.0,2766510.0,350205.0,7764.0,2766510.0,973.0
2014,"West Virginia","04000US54",326225.0,1799410.0,326225.0,6334.0,1799410.0,883.0
2015,"West Virginia","04000US54",323384.0,1797790.0,323384.0,6505.0,1797790.0,847.0
2013,"West Virginia","04000US54",321546.0,1800280.0,321546.0,5333.0,1800280.0,903.0
2015,"Idaho","04000US16",245177.0,1584410.0,245177.0,7119.0,1584410.0,899.0
2014,"Idaho","04000US16",244618.0,1568380.0,244618.0,5923.0,1568380.0,743.0
2013,"Idaho","04000US16",240298.0,1552770.0,240298.0,5146.0,1552770.0,761.0
2014,"Nebraska","04000US31",231762.0,1801890.0,231762.0,4907.0,1801890.0,617.0
2015,"Nebraska","04000US31",231115.0,1815580.0,231115.0,4896.0,1815580.0,660.0
2013,"Nebraska","04000US31",228789.0,1787450.0,228789.0,5657.0,1787450.0,893.0
2015,"Maine","04000US23",180278.0,1293510.0,180278.0,4216.0,1293510.0,524.0
2014,"Maine","04000US23",179878.0,1293320.0,179878.0,3456.0,1293320.0,611.0
2013,"Maine","04000US23",175624.0,1293310.0,175624.0,4406.0,1293310.0,558.0
2015,"Hawaii","04000US15",153944.0,1369080.0,153944.0,4861.0,1369080.0,602.0
2014,"Hawaii","04000US15",153752.0,1355380.0,153752.0,4468.0,1355380.0,621.0
2015,"Montana","04000US30",150586.0,989932.0,150586.0,3359.0,989932.0,616.0
2014,"Montana","04000US30",150096.0,981707.0,150096.0,3959.0,981707.0,586.0
2013,"Hawaii","04000US15",149531.0,1340060.0,149531.0,4436.0,1340060.0,607.0
2013,"Montana","04000US30",148528.0,974000.0,148528.0,4106.0,974000.0,574.0
2015,"Rhode Island","04000US44",144223.0,1013460.0,144223.0,4010.0,1013460.0,398.0
2014,"Rhode Island","04000US44",143996.0,1012810.0,143996.0,4494.0,1012810.0,364.0
2013,"Rhode Island","04000US44",137244.0,1010870.0,137244.0,3985.0,1010870.0,463.0
2015,"South Dakota","04000US46",114907.0,814079.0,114907.0,3061.0,814079.0,484.0
2014,"South Dakota","04000US46",114444.0,805676.0,114444.0,3306.0,805676.0,487.0
2015,"New Hampshire","04000US33",113840.0,1283290.0,113840.0,4067.0,1283290.0,523.0
2014,"New Hampshire","04000US33",113374.0,1280900.0,113374.0,3400.0,1280900.0,480.0
2013,"South Dakota","04000US46",112086.0,796095.0,112086.0,2783.0,796095.0,493.0
2013,"New Hampshire","04000US33",110859.0,1278500.0,110859.0,3796.0,1278500.0,468.0
2015,"District of Columbia","04000US11",110365.0,613291.0,110365.0,3465.0,613291.0,259.0
2014,"District of Columbia","04000US11",109378.0,599620.0,109378.0,3271.0,599620.0,248.0
2013,"District of Columbia","04000US11",109200.0,585525.0,109200.0,3796.0,585525.0,211.0
2015,"Delaware","04000US10",108315.0,900820.0,108315.0,3181.0,900820.0,453.0
2014,"Delaware","04000US10",107101.0,891493.0,107101.0,3413.0,891493.0,488.0
2013,"Delaware","04000US10",103633.0,883004.0,103633.0,3533.0,883004.0,541.0
2014,"North Dakota","04000US38",80865.0,679912.0,80865.0,2846.0,679912.0,321.0
2015,"North Dakota","04000US38",79758.0,696195.0,79758.0,2073.0,696195.0,396.0
2013,"North Dakota","04000US38",79433.0,665576.0,79433.0,2180.0,665576.0,314.0
2015,"Alaska","04000US02",72957.0,716218.0,72957.0,2770.0,716218.0,373.0
2014,"Vermont","04000US50",72044.0,601671.0,72044.0,2348.0,601671.0,341.0
2014,"Alaska","04000US02",71866.0,711235.0,71866.0,2472.0,711235.0,421.0
2013,"Vermont","04000US50",70873.0,601245.0,70873.0,2326.0,601245.0,326.0
2013,"Alaska","04000US02",69514.0,704041.0,69514.0,2703.0,704041.0,475.0
2015,"Vermont","04000US50",69233.0,601732.0,69233.0,1881.0,601732.0,332.0
2014,"Wyoming","04000US56",65271.0,561187.0,65271.0,2633.0,561187.0,426.0
2015,"Wyoming","04000US56",64995.0,565647.0,64995.0,2766.0,565647.0,423.0
2013,"Wyoming","04000US56",63743.0,556239.0,63743.0,2603.0,556239.0,429.0
